keys,en,uk,pl,be,kz,ru
TABLE_PHASE_SETUP,"Stage: preparation","Етап: підготовка","Etap: przygotowanie","Этап: падрыхтоўка","Кезең: дайындық","Этап: подготовка"
TABLE_PHASE_BIDDING,"bidding","замовлення взяток","licytacja lew","заказ узятак","алынатын ұпайға тапсырыс","заказ взяток"
TABLE_PHASE_BLIND_BIDDING,"blind bidding","замовлення наосліп","licytacja w ciemno","заказ усляпую","жасырын тапсырыс","заказ вслепую"
TABLE_PHASE_PLAYING,"playing tricks","розіграш взяток","rozgrywanie lew","розыгрыш узятак","ұтыстарды ойнау","розыгрыш взяток"
TABLE_PHASE_FINISHED,"finished","завершено","zakończona","завершана","аяқталды","завершена"
TABLE_ROUND_PROGRESS,"Round %d/%d · %s","Роздача %d/%d · %s","Rozdanie %d/%d · %s","Раздача %d/%d · %s","Тарату %d/%d · %s","Раздача %d/%d · %s"
TABLE_DARK_PROGRESS,"Dark %d/%d · %s","Темна %d/%d · %s","Ciemna %d/%d · %s","Цёмная %d/%d · %s","Жасырын %d/%d · %s","Тёмная %d/%d · %s"
TABLE_NO_TRUMP_PROGRESS,"No-trump %d/%d · %s","Безкозирна %d/%d · %s","Bez atu %d/%d · %s","Бесказырная %d/%d · %s","Козырьсіз %d/%d · %s","Бескозырка %d/%d · %s"
TABLE_GOLDEN_PROGRESS,"Golden %d/%d · %s","Золота %d/%d · %s","Złota %d/%d · %s","Залатая %d/%d · %s","Алтын %d/%d · %s","Золотая %d/%d · %s"
TABLE_MISERE_PROGRESS,"Misère %d/%d · %s","Мізерна %d/%d · %s","Mizerka %d/%d · %s","Мізэрная %d/%d · %s","Мизер %d/%d · %s","Мизерная %d/%d · %s"
ROUND_NORMAL,"Normal","Звичайна","Zwykła","Звычайная","Қалыпты","Обычная"
ROUND_DARK,"Dark","Темна","Ciemna","Цёмная","Жасырын","Тёмная"
ROUND_NO_TRUMP,"No-trump","Безкозирна","Bez atu","Бесказырная","Козырьсіз","Бескозырка"
ROUND_GOLDEN,"Golden","Золота","Złota","Залатая","Алтын","Золотая"
ROUND_MISERE,"Misère","Мізерна","Mizerka","Мізэрная","Мизер","Мизерная"
TRUMP_NONE_NAME,"no trump","без козиря","bez atu","без козыра","козырьсіз","без козыря"
TRUMP_UNDEFINED_NAME,"not determined","не визначено","nieokreślony","не вызначаны","анықталмаған","не определён"
TRUMP_PLACEHOLDER,"Trump: —","Козир: —","Atut: —","Козыр: —","Козырь: —","Козырь: —"
TRUMP_SPECIAL_NONE,"%s: no trump","%s: без козиря","%s: bez atu","%s: без козыра","%s: козырьсіз","%s: козырей нет"
TRUMP_SPECIAL_SUIT,"%s: trump %s","%s: козир %s","%s: atut %s","%s: козыр %s","%s: козырь %s","%s: козырь %s"
TRUMP_NO_TRUMP,"No-trump: no trump suit","Безкозирна: козирів немає","Bez atu: brak koloru atutowego","Бесказырная: козыраў няма","Козырьсіз: козырь жоқ","Бескозырка: козырей нет"
TRUMP_DARK,"%s: trump %s · cards are hidden until bidding ends","%s: козир %s · карти приховані до завершення замовлень","%s: atut %s · karty są ukryte do końca licytacji","%s: козыр %s · карты схаваныя да канца заказаў","%s: козырь %s · карталар тапсырыс аяқталғанша жасырын","%s: козырь %s · карты скрыты до завершения заказов"
TRUMP_FIXED,"Trump: %s (scheduled)","Козир: %s (за розкладом)","Atut: %s (według harmonogramu)","Козыр: %s (па раскладзе)","Козырь: %s (кесте бойынша)","Козырь: %s (задан)"
TRUMP_OPEN_JOKER,"Revealed %s (no trump)","Відкрито %s (без козиря)","Odkryto %s (bez atu)","Адкрыты %s (без козыра)","%s ашылды (козырьсіз)","Открыта %s (бескозырка)"
TRUMP_OPEN_CARD,"Revealed %s · trump %s","Відкрито %s · козир %s","Odkryto %s · atut %s","Адкрыта %s · козыр %s","%s ашылды · козырь %s","Открыта %s · козырь %s"
TRUMP_MARKER,"Trump suit: %s","Козирна масть: %s","Kolor atutowy: %s","Казырная масць: %s","Козырь түсі: %s","Козырная масть: %s"
TRUMP_NO_SUIT,"No trump","Без козиря","Bez atu","Без козыра","Козырь жоқ","Без козыря"
TRUMP_CARD_TOOLTIP,"The revealed card determines the trump suit.","Відкрита карта визначає козир.","Odkryta karta wyznacza atut.","Адкрытая карта вызначае козыр.","Ашық карта козырьді анықтайды.","Открытая карта определяет козырь."
TRUMP_NETWORK_CARD_TOOLTIP,"The revealed card and the remaining deck are public round information.","Відкрита карта й залишок колоди — публічна інформація роздачі.","Odkryta karta i pozostała talia są publiczną informacją rozdania.","Адкрытая карта і рэшта калоды — публічная інфармацыя раздачы.","Ашық карта мен колода қалдығы — таратудың ашық ақпараты.","Открытая карта и остаток колоды — публичная информация сетевой раздачи."
TRUMP_WILL_OPEN_TOOLTIP,"Trump will be determined by the revealed card after dealing.","Козир визначиться відкритою картою після роздачі.","Atut zostanie określony przez odkrytą kartę po rozdaniu.","Козыр вызначыцца адкрытай картай пасля раздачы.","Козырь тарату аяқталғаннан кейін ашық картамен анықталады.","Козырь определится открытой картой после раздачи."
TRUMP_NOT_OPEN,"Trump has not been revealed yet","Козир ще не відкрито","Atut nie został jeszcze odkryty","Козыр яшчэ не адкрыты","Козырь әлі ашылған жоқ","Козырь ещё не открыт"
TRUMP_MARKER_TOOLTIP,"This is only a trump-suit marker, not a card from the deck.","Це лише позначка козирної масті, а не карта з колоди.","To tylko znacznik koloru atutowego, a nie karta z talii.","Гэта толькі знак казырнай масці, а не карта з калоды.","Бұл тек козырь түсінің белгісі, колодадағы карта емес.","Это только маркер козырной масти, не карта из колоды."
TRUMP_NONE_TOOLTIP,"There is no trump suit in this round.","У цій роздачі козирів немає.","W tym rozdaniu nie ma atu.","У гэтай раздачы козыраў няма.","Бұл таратуда козырь жоқ.","В этой раздаче козырей нет."
DECK_OPEN_JOKER,"Revealed Joker · no trump","Відкритий Джокер · без козиря","Odkryty Joker · bez atu","Адкрыты Джокер · без козыра","Ашық Джокер · козырьсіз","Открытый Джокер · бескозырка"
DECK_OPEN_TRUMP,"Revealed trump · cards left: %d","Відкритий козир · у колоді: %d","Odkryty atut · kart w talii: %d","Адкрыты козыр · у калодзе: %d","Ашық козырь · колодада: %d","Открытый козырь · в колоде: %d"
PLAYER_TURN_PREFIX,"Turn · ","Хід · ","Ruch · ","Ход · ","Жүріс · ","Ход · "
PLAYER_YOU,"You","Ви","Ty","Ты","Сіз","Ты"
PLAYER_ORDER,"Bid","Замовлено","Zamówiono","Заказ","Тапсырыс","Заказ"
PLAYER_TAKEN,"Taken","Взято","Wzięto","Узята","Алынды","Взято"
PLAYER_SCORE,"Score: %d","Рахунок: %d","Wynik: %d","Рахунак: %d","Ұпай: %d","Счёт: %d"
PLAYER_SCORE_CHANGE,"Score: %d   %s","Рахунок: %d   %s","Wynik: %d   %s","Рахунак: %d   %s","Ұпай: %d   %s","Счёт: %d   %s"
PLAYER_AVATAR_TOOLTIP,"Player avatar","Аватар гравця","Awatar gracza","Аватар гульца","Ойыншы аватары","Аватар игрока"
PLAYER_IS_PLAYING_SOUND,"This player is playing a sound","Цей гравець зараз відтворює звук","Ten gracz odtwarza dźwięk","Гэты гулец зараз прайгравае гук","Бұл ойыншы қазір дыбыс ойнатып жатыр","Этот игрок сейчас воспроизводит звук"
PLAYER_RECONNECTING_PREFIX,"Reconnecting · ","Перепідключення · ","Ponowne łączenie · ","Перападключэнне · ","Қайта қосылу · ","Переподключается · "
PLAYER_TEMP_BOT_PREFIX,"Temporary bot · ","Тимчасовий бот · ","Tymczasowy bot · ","Часовы бот · ","Уақытша бот · ","Временный бот · "
PLAYER_RECONNECTING_STATUS,"Reconnecting…","Перепідключення…","Ponowne łączenie…","Перападключэнне…","Қайта қосылуда…","Переподключается…"
PLAYER_TEMP_BOT_STATUS,"Bot is playing until the player returns","Бот грає до повернення гравця","Bot gra do powrotu gracza","Бот гуляе да вяртання гульца","Ойыншы оралғанша бот ойнайды","Бот играет до возвращения игрока"
PLAYER_TOOLTIP,"Player: %s","Гравець: %s","Gracz: %s","Гулец: %s","Ойыншы: %s","Игрок: %s"
PLAYER_SEND_GIFT,"Send a gift","Надіслати подарунок","Wyślij prezent","Адправіць падарунак","Сыйлық жіберу","Отправить подарок"
PLAYER_MUTE,"Mute this player's soundpad","Вимкнути саундпад цього гравця","Wycisz soundpad tego gracza","Выключыць саўндпад гэтага гульца","Осы ойыншының саундпадын өшіру","Выключить саундпад этого игрока"
PLAYER_UNMUTE,"Unmute this player's soundpad","Увімкнути саундпад цього гравця","Włącz soundpad tego gracza","Уключыць саўндпад гэтага гульца","Осы ойыншының саундпадын қосу","Включить саундпад этого игрока"
TURN_BADGE,"TURN","ХІД","RUCH","ХОД","ЖҮРІС","ХОД"
TABLE_NEXT_TRICK,"Next trick","Наступна взятка","Następna lewa","Наступная ўзятка","Келесі ұтыс","Следующая взятка"
TABLE_CURRENT_TRICK,"Current trick","Поточна взятка","Bieżąca lewa","Бягучая ўзятка","Ағымдағы ұтыс","Текущая взятка"
TABLE_LAST_TRICK,"Last trick","Остання взятка","Ostatnia lewa","Апошняя ўзятка","Соңғы ұтыс","Последняя взятка"
TABLE_TRICK_WINNER,"%s takes the trick.","Взятку забирає %s.","Lewę bierze %s.","Узятку забірае %s.","Ұтысты %s алды.","Взятку забирает %s."
ACTION_PREPARING,"Preparing the game","Підготовка партії","Przygotowanie gry","Падрыхтоўка партыі","Ойын дайындалуда","Подготовка партии"
ACTION_YOUR_BID,"Your bid: choose the number of tricks.","Ваше замовлення: виберіть кількість взяток.","Twój zakład: wybierz liczbę lew.","Твой заказ: выберы колькасць узятак.","Тапсырысыңыз: ұтыс санын таңдаңыз.","Твой заказ: выбери число взяток."
