keys,en,uk,pl,be,kz,ru
MAIN_MENU_SUBTITLE,"Card game for four players · %s","Карткова гра для чотирьох гравців · %s","Gra karciana dla czterech graczy · %s","Картачная гульня для чатырох гульцоў · %s","Төрт ойыншыға арналған карта ойыны · %s","Карточная игра для четырёх игроков · %s"
MENU_CONTINUE,"Continue game","Продовжити партію","Kontynuuj grę","Працягнуць партыю","Ойынды жалғастыру","Продолжить партию"
MENU_NEW_BOTS,"New game with bots","Нова гра з ботами","Nowa gra z botami","Новая гульня з ботамі","Боттармен жаңа ойын","Новая игра с ботами"
MENU_ONLINE,"Play online","Грати онлайн","Graj online","Гуляць анлайн","Желіде ойнау","Играть по сети"
MENU_TUTORIAL,"Tutorial","Навчання","Samouczek","Навучанне","Үйрету","Обучение"
MENU_PROFILE,"Profile","Профіль","Profil","Профіль","Профиль","Профиль"
MENU_STATISTICS,"Statistics","Статистика","Statystyki","Статыстыка","Статистика","Статистика"
MENU_DEV_TOOLS,"Developer tools","Інструменти розробника","Narzędzia deweloperskie","Інструменты распрацоўшчыка","Әзірлеуші құралдары","Инструменты разработчика"
MENU_SETTINGS,"Settings","Налаштування","Ustawienia","Налады","Баптаулар","Настройки"
MENU_QUIT,"Quit","Вийти","Wyjdź","Выйсці","Шығу","Выход"
BUILD_DEVELOPER,"developer version %s","версія розробника %s","wersja deweloperska %s","версія распрацоўшчыка %s","әзірлеуші нұсқасы %s","версия разработчика %s"
BUILD_PLAYER,"player version %s","версія для гравців %s","wersja dla graczy %s","версія для гульцоў %s","ойыншыларға арналған нұсқа %s","версия для игроков %s"
SETTINGS_TITLE,"Settings","Налаштування","Ustawienia","Налады","Баптаулар","Настройки"
SETTINGS_SUBTITLE,"Changes apply immediately and are saved on this device","Зміни застосовуються одразу та зберігаються на цьому пристрої","Zmiany są stosowane od razu i zapisywane na tym urządzeniu","Змены прымяняюцца адразу і захоўваюцца на гэтай прыладзе","Өзгерістер бірден қолданылады және осы құрылғыда сақталады","Параметры применяются сразу и сохраняются на этом устройстве"
SETTINGS_SOUND,"Sound","Звук","Dźwięk","Гук","Дыбыс","Звук"
SETTINGS_APPEARANCE,"Appearance","Оформлення","Wygląd","Афармленне","Безендіру","Оформление"
SETTINGS_GAME,"Game","Гра","Gra","Гульня","Ойын","Игра"
SETTINGS_DISPLAY,"Display","Екран","Ekran","Экран","Экран","Экран"
SETTINGS_LANGUAGE,"Language","Мова","Język","Мова","Тіл","Язык"
MENU_BACK,"Back","Назад","Wstecz","Назад","Артқа","Назад"
LANGUAGE_TITLE,"Language","Мова","Język","Мова","Тіл","Язык"
LANGUAGE_SUBTITLE,"Interface language is stored only on this device","Мова інтерфейсу зберігається лише на цьому пристрої","Język interfejsu jest zapisywany tylko na tym urządzeniu","Мова інтэрфейсу захоўваецца толькі на гэтай прыладзе","Интерфейс тілі тек осы құрылғыда сақталады","Язык интерфейса сохраняется только на этом устройстве"
LANGUAGE_CURRENT,"Current language: %s","Поточна мова: %s","Bieżący język: %s","Бягучая мова: %s","Ағымдағы тіл: %s","Текущий язык: %s"
